"County_Route_Stop","County_Route","mbbs_county","route_num","stop_num","lat","lon","notes"
"Chatham-1-1","Chatham-1","Chatham",1,1,35.768194,-79.18409,""
"Chatham-1-2","Chatham-1","Chatham",1,2,35.768061,-79.175666,""
"Chatham-1-3","Chatham-1","Chatham",1,3,35.767089,-79.165578,""
"Chatham-1-4","Chatham-1","Chatham",1,4,35.766264,-79.15756,""
"Chatham-1-5","Chatham-1","Chatham",1,5,35.771066,-79.151922,""
"Chatham-1-6","Chatham-1","Chatham",1,6,35.777919,-79.144074,""
"Chatham-1-7","Chatham-1","Chatham",1,7,35.784027,-79.147646,""
"Chatham-1-8","Chatham-1","Chatham",1,8,35.790649,-79.150232,""
"Chatham-1-9","Chatham-1","Chatham",1,9,35.796262,-79.150871,""
"Chatham-1-10","Chatham-1","Chatham",1,10,35.803606,-79.1532756,""
"Chatham-1-11","Chatham-1","Chatham",1,11,35.808863,-79.157316,""
"Chatham-1-12","Chatham-1","Chatham",1,12,35.815893,-79.153156,""
"Chatham-1-13","Chatham-1","Chatham",1,13,35.821153,-79.147977,""
"Chatham-1-14","Chatham-1","Chatham",1,14,35.8276,-79.143853,""
"Chatham-1-15","Chatham-1","Chatham",1,15,35.833699,-79.139403,""
"Chatham-1-16","Chatham-1","Chatham",1,16,35.840145,-79.134252,""
"Chatham-1-17","Chatham-1","Chatham",1,17,35.843794,-79.125918,""
"Chatham-1-18","Chatham-1","Chatham",1,18,35.846032,-79.116841,""
"Chatham-1-19","Chatham-1","Chatham",1,19,35.84653,-79.108612,""
"Chatham-1-20","Chatham-1","Chatham",1,20,35.846079,-79.098248,""
"Chatham-2-1","Chatham-2","Chatham",2,1,35.8602659,-78.990665,""
"Chatham-2-2","Chatham-2","Chatham",2,2,35.8639551,-78.9978547,""
"Chatham-2-3","Chatham-2","Chatham",2,3,35.86792,-79.00082,""
"Chatham-2-4","Chatham-2","Chatham",2,4,35.8625383,-79.0082845,""
"Chatham-2-5","Chatham-2","Chatham",2,5,35.8573224,-79.0144718,""
"Chatham-2-6","Chatham-2","Chatham",2,6,35.8520403,-79.0189869,""
"Chatham-2-7","Chatham-2","Chatham",2,7,35.8455345,-79.0258997,""
"Chatham-2-8","Chatham-2","Chatham",2,8,35.8381628,-79.0281508,""
"Chatham-2-9","Chatham-2","Chatham",2,9,35.831003,-79.0234399,""
"Chatham-2-10","Chatham-2","Chatham",2,10,35.8245885,-79.0182671,""
"Chatham-2-11","Chatham-2","Chatham",2,11,35.8190108,-79.0209792,""
"Chatham-2-12","Chatham-2","Chatham",2,12,35.8193091,-79.0293806,""
"Chatham-2-13","Chatham-2","Chatham",2,13,35.8199538,-79.0396638,""
"Chatham-2-14","Chatham-2","Chatham",2,14,35.8139108,-79.0445884,""
"Chatham-2-15","Chatham-2","Chatham",2,15,35.8145049,-79.0539119,""
"Chatham-2-16","Chatham-2","Chatham",2,16,35.8178023,-79.0617823,""
"Chatham-2-17","Chatham-2","Chatham",2,17,35.8154438,-79.0713797,""
"Chatham-2-18","Chatham-2","Chatham",2,18,35.8157816,-79.0799655,""
"Chatham-2-19","Chatham-2","Chatham",2,19,35.810236,-79.0974469,""
"Chatham-2-20","Chatham-2","Chatham",2,20,35.8124578,-79.1076962,""
"Chatham-3-1","Chatham-3","Chatham",3,1,35.6733378,-78.9858872,""
"Chatham-3-2","Chatham-3","Chatham",3,2,35.666351,-78.9801295,""
"Chatham-3-3","Chatham-3","Chatham",3,3,35.6595899,-78.9777834,""
"Chatham-3-4","Chatham-3","Chatham",3,4,35.655182,-78.9831765,""
"Chatham-3-5","Chatham-3","Chatham",3,5,35.6509829,-78.9907833,""
"Chatham-3-6","Chatham-3","Chatham",3,6,35.6473864,-78.99724,""
"Chatham-3-7","Chatham-3","Chatham",3,7,35.6431243,-79.0050542,""
"Chatham-3-8","Chatham-3","Chatham",3,8,35.6381369,-79.0035399,""
"Chatham-3-9","Chatham-3","Chatham",3,9,35.6319633,-79.0030893,""
"Chatham-3-10","Chatham-3","Chatham",3,10,35.6255625,-79.0025528,""
"Chatham-3-11","Chatham-3","Chatham",3,11,35.618867,-79.0027127,""
"Chatham-3-12","Chatham-3","Chatham",3,12,35.6123772,-79.0052136,""
"Chatham-3-13","Chatham-3","Chatham",3,13,35.6049423,-79.0050848,""
