predictor,dataset,class,label
longitude,ebird,,Longitude
latitude,ebird,,Latitude
year,ebird,,Year
day_of_year,ebird,,Day of Year
solar_noon_diff,ebird,,Checklist Midpoint (Hours From Solar Noon)
is_stationary,ebird,,Is Stationary
effort_hrs,ebird,,Effort Hours [h]
effort_distance_km,ebird,,Effort Distance [km]
effort_speed_kmph,ebird,,Effort Speed [km/h]
num_observers,ebird,,Number of Observers
cci,ebird,,Checklist Calibration Index
moon_fraction,moon,,Moon Illumination Fraction
moon_altitude,moon,,Moon Altitude
cds_u10,cds,u10,Wind Speed (E-W) [m/s]
cds_v10,cds,v10,Wind Speed (N-S) [m/s]
cds_i10fg,cds,i10fg,Wind Gust [m/s]
cds_d2m,cds,d2m,Dewpoint [celcius]
cds_t2m,cds,t2m,Temperature [celcius]
cds_hcc,cds,hcc,High Cloud Cover [%]
cds_mcc,cds,mcc,Medium Cloud Cover [%]
cds_lcc,cds,lcc,Low Cloud Cover [%]
cds_msl,cds,msl,Sea Level Pressure (Mean) [Pa]
cds_slc,cds,slc,Sea Level Pressure (Change) [Pa]
cds_sf,cds,sf,Snowfall (Water Equivalent) [m]
cds_rf,cds,rf,Rain Fall [m]
eastness_1km_median,eastness_1km,,Eastness 1km (median)
eastness_1km_sd,eastness_1km,,Eastness 1km (SD)
eastness_90m_median,eastness_90m,,Eastness 90m (median)
eastness_90m_sd,eastness_90m,,Eastness 90m (SD)
northness_1km_median,northness_1km,,Northness 1km (median)
northness_1km_sd,northness_1km,,Northness 1km (SD)
northness_90m_median,northness_90m,,Northness 90m (median)
northness_90m_sd,northness_90m,,Northness 90m (SD)
elevation_30m_median,elevation_30m,,Elevation 30m (median)
elevation_30m_sd,elevation_30m,,Elevation 30m (SD)
bathymetry_elevation_median,bathymetry,,Bathymetry Elevation (median)
bathymetry_elevation_sd,bathymetry,,Bathymetry Elevation (SD)
island,island,,Island ID
mountain,mountain,,Mountain ID
astwbd_c1_pland,astwbd,1,Ocean (% cover)
astwbd_c1_ed,astwbd,1,Ocean (edge density)
astwbd_c2_pland,astwbd,2,River (% cover)
astwbd_c2_ed,astwbd,2,River (edge density)
astwbd_c3_pland,astwbd,3,Lakes (% cover)
astwbd_c3_ed,astwbd,3,Lakes (edge density)
gsw_c2_pland,gsw,2,Seasonal water (% cover)
gsw_c2_ed,gsw,2,Seasonal water (edge density)
ntl_mean,ntl,,Nighttime Lights (mean)
ntl_sd,ntl,,Nighttime Lights (SD)
road_density_c1,road_density,1,Highways
road_density_c2,road_density,2,Primary roads
road_density_c3,road_density,3,Secondary roads
