"species","trend","pvalue","R2","significant"
"Canada Goose",-0.14717668984066,0.00159918062377093,0.370449744030961,1
"Wood Duck",0.000126765321337196,0.972889567007589,0.0000699619341666311,0
"Mallard",-0.00803595002255485,0.272793534388561,0.054381296685763,0
"Northern Bobwhite",-0.0464503395049107,0.00000385002135837487,0.628543621154003,1
"Wild Turkey",0.0120034426717671,0.0809187201101503,0.151721950908801,0
"Rock Pigeon",-0.0471974321866759,0.116966597822233,0.118340391469547,0
"Mourning Dove",-0.192541738297461,0.000614571990315594,0.420113358278124,1
"Yellow-billed Cuckoo",0.0404276568049268,0.0815960721186868,0.131497544982387,0
"Common Nighthawk",-0.00316107751511815,0.329591357071552,0.449447748513164,0
"Chuck-will's-widow",0.00124574086054379,0.613805995354967,0.0129704862534672,0
"Eastern Whip-poor-will",-0.0177868850984837,0.00880577385376759,0.284229763583486,1
"Chimney Swift",-0.131834548825948,0.000123413327734185,0.495650240291634,1
"Ruby-throated Hummingbird",-0.00797190878885238,0.0858092580714965,0.128200340874262,0
"Killdeer",-0.0180297804591923,0.0264076673667942,0.204749637628681,1
"Double-crested Cormorant",0.0185424135523202,0.01068295781299,0.431664756789253,1
"Great Blue Heron",0.0160373487860061,0.00785597500077325,0.279892550444252,1
"Green Heron",-0.0103356556900994,0.000525965644412727,0.427863276958412,1
"Glossy Ibis",-0.0055430970041976,0.294570356838787,0.497630981450557,0
"Black Vulture",0.0716473545470346,0.000453640864195784,0.435140946401716,1
"Turkey Vulture",0.00671186306707412,0.448198466390618,0.0263905722738216,0
"Osprey",0.00229682519900399,0.224784713341001,0.0965505595353718,0
"Sharp-shinned Hawk",-0.000442576332191418,0.844621100069344,0.00693100030628929,0
"Cooper's Hawk",-0.0041081128333065,0.278445427156628,0.0969803209129997,0
"Bald Eagle",-0.0000347923142041093,0.967799968292107,0.000295040001728109,0
"Red-shouldered Hawk",0.0368304946249637,0.0000127096831125507,0.587068824871948,1
"Broad-winged Hawk",-0.00474489795918287,0.283501301831532,0.223920078383947,0
"Red-tailed Hawk",0.00206768885064915,0.563156395519714,0.0154225411612872,0
"Eastern Screech-Owl",-0.000375944821406027,0.660306737805878,0.0343630011735338,0
"Great Horned Owl",-0.000540905818735664,0.778684932080324,0.00582918654887105,0
"Barred Owl",0.00456800851062354,0.255303749924298,0.0583907566925946,0
"Belted Kingfisher",-0.00142746052644195,0.313937375666484,0.0919261215734593,0
"Red-headed Woodpecker",0.000788754254719465,0.925664939585819,0.000470255694495912,0
"Red-bellied Woodpecker",0.0385462102546499,0.205510069783333,0.0718082190632623,0
"Downy Woodpecker",-0.00995770516544177,0.466788022893576,0.024322621862442,0
"Hairy Woodpecker",-0.00414470750902979,0.127367904659874,0.102421742684939,0
"Pileated Woodpecker",0.0173787746531672,0.00312457087076367,0.333536969602372,1
"Northern Flicker",-0.0117945857838761,0.00235290241218397,0.349382879835088,1
"woodpecker sp.",0.00922874435186419,0.0843232163219515,0.982558139534881,0
