"species","trend","pvalue","R2","significant"
"Canada Goose",-0.130308183246629,0.00270927308117425,0.329225693265798,1
"Wood Duck",-0.00124752955136021,0.715345051340914,0.00756779362682577,0
"Mallard",-0.00967377174107943,0.145630234664552,0.0897797413155568,0
"Northern Bobwhite",-0.044451899487884,0.00000228880202709714,0.628671527036279,1
"Wild Turkey",0.0122839241864712,0.0425745862075594,0.189998307329627,1
"Rock Pigeon",-0.0493455478680948,0.0657152952883398,0.152200932898985,0
"Mourning Dove",-0.194530321575785,0.000232388673549237,0.451941291821332,1
"Yellow-billed Cuckoo",0.0236160604289407,0.284356535100364,0.049647817524641,0
"Common Nighthawk",-0.00316107751511815,0.329591357071552,0.449447748513164,0
"Chuck-will's-widow",0.000843928637362034,0.695952815318401,0.00741959632013717,0
"Eastern Whip-poor-will",-0.0174217137695507,0.00470806888859414,0.310081802187225,1
"Chimney Swift",-0.13199736882556,0.000049217985420899,0.518665102843145,1
"Ruby-throated Hummingbird",-0.00881904210728911,0.0363674110598764,0.176786359065447,1
"Killdeer",-0.0157702454504315,0.0339860475576752,0.181001361327797,1
"Double-crested Cormorant",0.011050172010869,0.092217533999247,0.202654919107836,0
"Great Blue Heron",0.01332893092645,0.0155089189269601,0.229066865513633,1
"Green Heron",-0.00931613207480153,0.00087686757631859,0.388279176854844,1
"Glossy Ibis",-0.0055430970041976,0.294570356838787,0.497630981450557,0
"Black Vulture",0.0625669425182804,0.000658359503150083,0.402550004272078,1
"Turkey Vulture",0.00674581763480187,0.389545788276675,0.0323595969061939,0
"Osprey",0.00292288905781634,0.0979368970965485,0.161820558416005,0
"Sharp-shinned Hawk",-0.000560970740709281,0.798647268316733,0.011713807887566,0
"Cooper's Hawk",-0.00404482675157373,0.211376230877654,0.117332574847351,0
"Bald Eagle",-0.0000732557293643556,0.93106788142385,0.00135401913358386,0
"Red-shouldered Hawk",0.0357656966476107,0.0000044099909894351,0.607398510225316,1
"Broad-winged Hawk",-0.0048076923076915,0.272681872862734,0.232907490306431,0
"Red-tailed Hawk",0.00162073024790493,0.614795182410814,0.011189517527277,0
"Eastern Screech-Owl",-0.000214279348710959,0.759301602985763,0.0142964829341092,0
"Great Horned Owl",-0.00117109070920422,0.508948788122347,0.0317721929070184,0
"Barred Owl",0.0047901501176193,0.18477776261946,0.0751623567775087,0
"Belted Kingfisher",-0.00144449598323161,0.294219807540124,0.0993339530607123,0
"Red-headed Woodpecker",0.0000487437372023753,0.994755743611544,0.00000221470729327726,0
"Red-bellied Woodpecker",0.0217925013753633,0.422400405946357,0.02819205731026,0
"Downy Woodpecker",-0.00506450677391932,0.696857598197228,0.00672052662314714,0
"Hairy Woodpecker",-0.00297664287366269,0.246370925926667,0.057954413807454,0
"Pileated Woodpecker",0.015957147348355,0.00353201335404611,0.31467706876662,1
"Northern Flicker",-0.0132199214130385,0.000387664913027838,0.42814769030182,1
"woodpecker sp.",0.00555078366721154,0.377331109715725,0.38771654692785,0
"Eastern Wood-Pewee",-0.0265655554365279,0.0671971134512089,0.138275641679866,0
"Acadian Flycatcher",0.0530145628348351,0.000000616603756423664,0.66792031844871,1
